gkz,values,name,classIndices,friendlyUrl,type,selected,geometry,count_osm
12061260,[ 8.8000000000000007 ],Königs Wusterhausen,[ 4 ],koenigs-wusterhausen,GEMEINDE,,"MULTIPOLYGON (((13.6994 52.3777, 13.7279 52.3864, 13.7409 52.3724, 13.7277 52.3653, 13.7565 52.3508, 13.7305 52.3266, 13.7438 52.3185, 13.7547 52.3086, 13.7389 52.2813, 13.6712 52.2587, 13.6129 52.26, 13.6172 52.2818, 13.5721 52.2932, 13.5786 52.3184, 13.5991 52.3127, 13.6047 52.3104, 13.6439 52.3075, 13.6433 52.3325, 13.6514 52.3398, 13.6994 52.3777)))",10.0
08226040,[ 8.6999999999999993 ],Laudenbach (HD),[ 4 ],laudenbach-hd,GEMEINDE,,"MULTIPOLYGON (((8.6921 49.6238, 8.6946 49.6189, 8.6847 49.608, 8.678 49.6124, 8.6879 49.6196, 8.6729 49.6198, 8.6691 49.6127, 8.68 49.6041, 8.5949 49.6068, 8.5977 49.6108, 8.6782 49.6257, 8.6921 49.6238)))",1.0
12062092,[ 7.2000000000000002 ],Doberlug-Kirchhain,[ 3 ],doberlug-kirchhain,GEMEINDE,,"MULTIPOLYGON (((13.4336 51.6824, 13.4791 51.6812, 13.5174 51.7045, 13.6517 51.6385, 13.637 51.6229, 13.5977 51.5923, 13.5658 51.5942, 13.4604 51.6134, 13.4325 51.6146, 13.3893 51.6181, 13.3572 51.6261, 13.3383 51.6589, 13.4336 51.6824)))",2.0
14625640,[ 8.5 ],Wittichenau,[ 4 ],wittichenau,GEMEINDE,,"MULTIPOLYGON (((14.2627 51.3388, 14.2125 51.3326, 14.1988 51.3518, 14.2116 51.3739, 14.1777 51.3658, 14.1656 51.3792, 14.1737 51.4001, 14.2138 51.4107, 14.2417 51.4003, 14.2631 51.4209, 14.308 51.4168, 14.3158 51.3904, 14.2815 51.3834, 14.2972 51.3507, 14.2627 51.3388)))",1.0
12065096,[ 7.0999999999999996 ],Glienicke / Nordbahn,[ 3 ],glienicke-nordbahn,GEMEINDE,,"MULTIPOLYGON (((13.3095 52.6428, 13.361 52.6363, 13.3444 52.6238, 13.3028 52.6274, 13.3095 52.6428)))",2.0
12066304,[ 7.7999999999999998 ],Senftenberg,[ 3 ],senftenberg,GEMEINDE,,"MULTIPOLYGON (((14.0381 51.4283, 14.0131 51.4501, 13.9645 51.4472, 13.9478 51.4591, 13.9743 51.4808, 13.9241 51.4751, 13.9252 51.4924, 13.9761 51.5154, 13.968 51.5315, 13.9843 51.5521, 13.9702 51.5641, 13.9862 51.5759, 14.0217 51.56, 14.0913 51.5698, 14.1214 51.5614, 14.1166 51.5477, 14.134 51.5405, 14.1415 51.5233, 14.1076 51.5213, 14.0737 51.4921, 14.0883 51.4793, 14.0721 51.4721, 14.0328 51.475, 14.0628 51.4455, 14.0381 51.4283)))",8.0
09571145,[ 9.6999999999999993 ],Feuchtwangen,[ 5 ],feuchtwangen,GEMEINDE,,"MULTIPOLYGON (((10.2313 49.1572, 10.2521 49.1773, 10.2299 49.2098, 10.2738 49.2379, 10.318 49.235, 10.3677 49.2199, 10.3641 49.2069, 10.3861 49.2098, 10.3828 49.1937, 10.4387 49.1772, 10.4355 49.1744, 10.3819 49.1564, 10.4142 49.1357, 10.4084 49.1071, 10.3625 49.1319, 10.3335 49.1216, 10.3039 49.1336, 10.2881 49.1282, 10.2927 49.111, 10.2687 49.1193, 10.2571 49.1292, 10.2313 49.1572)))",2.0
08115051,[ 9.1999999999999993 ],Weil im Schönbuch,[ 4 ],weil-im-schoenbuch,GEMEINDE,,"MULTIPOLYGON (((9.0964 48.6218, 9.0787 48.59, 9.0429 48.5881, 9.0223 48.6075, 9.0486 48.6418, 9.0879 48.6438, 9.0964 48.6218)), ((9.1057 48.6473, 9.0964 48.6482, 9.1027 48.651, 9.1057 48.6473)))",2.0
09186152,[ 11.1 ],Schweitenkirchen,[ 6 ],schweitenkirchen,GEMEINDE,,"MULTIPOLYGON (((11.6612 48.5131, 11.6625 48.4983, 11.6415 48.4971, 11.6138 48.4631, 11.6032 48.4671, 11.57 48.4899, 11.5645 48.511, 11.5882 48.5293, 11.5716 48.5455, 11.5805 48.5507, 11.5646 48.5508, 11.5844 48.5612, 11.6069 48.5599, 11.6144 48.5419, 11.6603 48.5522, 11.6612 48.5131)))",1.0
05366004,[ 7.2999999999999998 ],Bad Münstereifel,[ 3 ],bad-muenstereifel,GEMEINDE,,"MULTIPOLYGON (((6.769 50.4852, 6.7517 50.4974, 6.7733 50.5268, 6.7424 50.5135, 6.6911 50.5396, 6.7699 50.6029, 6.8144 50.6086, 6.8185 50.5618, 6.921 50.5655, 6.9281 50.5588, 6.9301 50.5331, 6.8822 50.5271, 6.9057 50.502, 6.9016 50.4691, 6.8566 50.4536, 6.801 50.4917, 6.769 50.4852)))",3.0
